City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Port-Gentil,GA,75.16,overcast clouds,-0.72,8.78,Fengshui Residence
5,Union,US,82.29,clear sky,40.63,-74.27,Homewood Suites by Hilton Newark-Cranford
8,Avarua,CK,75.25,scattered clouds,-21.21,-159.78,Paradise Inn
10,Hamilton,US,78.24,broken clouds,39.18,-84.53,Six Acres Bed & Breakfast
12,Ponta Delgada,PT,77.5,light intensity shower rain,37.73,-25.67,Vila Nova Hotel
16,Atuona,PF,77.2,light rain,-9.8,-139.03,Villa Enata
22,Tateyama,JP,83.1,broken clouds,34.98,139.87,Tateyama Seaside Hotel
23,Albany,US,77.41,broken clouds,42.6,-73.97,
26,Rikitea,PF,75.29,broken clouds,-23.12,-134.97,People ThankYou
27,Virginia Beach,US,78.06,thunderstorm,36.85,-75.98,Hilton Virginia Beach Oceanfront
28,Hambantota,LK,78.64,overcast clouds,6.12,81.12,Bungalow 63
30,Hithadhoo,MV,77.79,moderate rain,-0.6,73.08,Scoop Guest House
31,Savannah Bight,HN,82.54,few clouds,16.45,-85.85,Villa on Dunbar Rock
35,Bethel,US,80.69,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
37,Eirunepe,BR,81.09,broken clouds,-6.66,-69.87,Pousada Novo Acre
38,Namatanai,PG,82.99,broken clouds,-3.67,152.43,Seagulls Inn Namatani
40,Las Vegas,US,96.24,clear sky,36.17,-115.14,Plaza Hotel & Casino
42,Andros Town,BS,85.96,broken clouds,24.7,-77.77,Hanks place
43,Liuzhou,CN,79.03,clear sky,24.31,109.39,Linjiang Inn
48,Sabzevar,IR,81.43,few clouds,36.21,57.68,منزل عبدالوهاب برهانی سبزوار
50,Matay,EG,83.21,clear sky,28.42,30.78,Nag Aespen
56,Kapaa,US,84.52,broken clouds,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
63,Bighapur,IN,85.1,broken clouds,26.35,80.68,Tamatar The Restaurant
66,Tiarei,PF,80.62,light rain,-17.53,-149.33,Le Rocher de Tahiti
67,Ponta Do Sol,PT,76.12,clear sky,32.67,-17.1,Hotel do Campo
74,Bucerias,MX,86.99,overcast clouds,20.75,-105.33,Royal Decameron Complex - Puerto Vallarta
76,Faanui,PF,77.52,broken clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
83,Jamestown,US,76.05,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
87,San Miguel,SV,89.2,few clouds,13.48,-88.18,Excalibur
89,Guerrero Negro,MX,78.82,scattered clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
90,Alofi,NU,78.69,broken clouds,-19.06,-169.92,Taloa Heights
92,Katsuura,JP,81.39,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
96,Butaritari,KI,82.13,few clouds,3.07,172.79,Isles Sunset Lodge
99,Bat Khela,PK,78.24,overcast clouds,34.62,71.97,Electric and pipe fitting
100,Cabo San Lucas,MX,94.6,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
102,Port Blair,IN,78.84,mist,11.67,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
103,Tabou,CI,75.33,overcast clouds,4.42,-7.35,hotêl doufoulougou
105,San Policarpo,PH,80.02,overcast clouds,12.18,125.51,Agapita M. Nicart
110,Bafoulabe,ML,80.38,light rain,13.81,-10.83,Logement du Chargé SIS Abdoul Karim Konaté
114,Mackenzie,CA,88.03,few clouds,55.3,-123.17,Hilton Shop
119,Morant Bay,JM,80.64,moderate rain,17.88,-76.41,Whispering Bamboo Cove Resort
121,Padang,ID,75.25,overcast clouds,-0.95,100.35,Mercure Padang
122,Lahij,YE,87.03,overcast clouds,13.17,44.58,
123,Zeya,RU,76.21,clear sky,53.75,127.27,Kapital Inn
124,Dickinson,US,95.09,few clouds,29.46,-95.05,"Candlewood Suites League City, an IHG Hotel"
130,Kabalo,CD,76.33,broken clouds,-6.05,26.92,
132,Marsa Matruh,EG,77.88,clear sky,31.35,27.25,Beau Site
135,Sonoita,MX,94.95,overcast clouds,31.85,-112.83,Hotel internacional
139,Ternate,ID,80.47,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
140,Valleyview,CA,77.54,scattered clouds,55.07,-117.29,Paradise Inn & Suites
142,Goundam,ML,97.68,scattered clouds,16.41,-3.67,
145,Cayenne,GF,77.09,moderate rain,4.93,-52.33,Hôtel Le Dronmi
146,Pallipattu,IN,77.61,broken clouds,13.34,79.44,Annur Holiday Resorts
147,Pala,TD,75.2,overcast clouds,9.36,14.9,Hotel Pala Palace
150,Komsomolskiy,UZ,83.41,clear sky,40.43,71.72,Ikathouse
152,Karatau,KZ,79.75,clear sky,43.17,70.47,Baza Zika
155,Hilo,US,86.29,moderate rain,19.73,-155.09,Hilo Hawaiian Hotel
156,La Troncal,EC,76.8,light rain,-2.4,-79.33,TRONCAL INN
158,Chanasma,IN,77.32,broken clouds,23.72,72.12,Purvaj dada temple
159,Saint Anthony,US,76.1,overcast clouds,45.02,-93.22,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
161,Jishou,CN,78.35,scattered clouds,28.32,109.72,7 Days Inn
162,Samarai,PG,79.48,scattered clouds,-10.62,150.67,Nuli Sapi
163,Sahagun,CO,78.04,overcast clouds,8.95,-75.44,Hotel 5ta Avenida
166,Vanimo,PG,81.39,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
173,Dwarka,IN,81.97,overcast clouds,22.24,68.97,Hotel Narayan Avezika Comfort
182,Atar,MR,86.58,broken clouds,20.52,-13.05,Oumou Elghoura
185,Hasaki,JP,84.6,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
190,Mantua,IT,83.01,moderate rain,45.17,10.78,Hotel la Favorita
195,Porto Novo,BJ,76.08,overcast clouds,6.5,2.6,Tour Eiffel Hotel Benin
196,Victoria,HK,86.97,clear sky,22.29,114.16,Mini Central
202,Hulan,CN,78.96,clear sky,45.98,126.6,Mingda Hotel
203,Lorengau,PG,83.86,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
204,Ashland,US,79.16,overcast clouds,40.82,-82.27,SureStay
210,Bankura,IN,79.38,overcast clouds,23.25,87.07,Hotel Priyadarsini
211,Nishihara,JP,82.06,scattered clouds,26.18,127.76,Minshuku Agaihama
212,Morro Bay,US,88.18,clear sky,35.37,-120.85,Inn at Morro Bay
214,Sao Filipe,CV,77.81,overcast clouds,14.9,-24.5,Hotel Xaguate
215,Pacific Grove,US,75.81,clear sky,36.62,-121.92,Lovers Point Inn
220,Kirakira,SB,83.52,broken clouds,-10.45,161.92,SanBiz Lodge
