City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ahipara,NZ,-35.17,173.17,58.06,74,96,13.24,overcast clouds
1,Qaanaaq,GL,77.48,-69.36,43.23,67,17,4.21,few clouds
2,Sorland,NO,67.67,12.69,51.66,89,100,29.84,overcast clouds
3,Pangnirtung,CA,66.15,-65.71,50.94,68,64,3.65,broken clouds
4,Port-Gentil,GA,-0.72,8.78,75.16,83,100,11.5,overcast clouds
5,Union,US,40.63,-74.27,82.29,50,0,8.05,clear sky
6,Vaini,TO,-21.20,-175.20,73.38,73,100,12.95,overcast clouds
7,Pevek,RU,69.70,170.31,34.65,85,83,8.97,broken clouds
8,Avarua,CK,-21.21,-159.78,75.25,60,40,17.27,scattered clouds
9,Mataura,NZ,-46.19,168.86,44.47,96,100,6.62,overcast clouds
10,Hamilton,US,39.18,-84.53,78.24,79,75,1.01,broken clouds
11,Barrow,US,71.29,-156.79,35.62,93,100,14.97,moderate rain
12,Ponta Delgada,PT,37.73,-25.67,77.5,100,75,9.22,light intensity shower rain
13,Cape Town,ZA,-33.93,18.42,55.11,90,54,1.01,broken clouds
14,Punta Arenas,CL,-53.15,-70.92,30.31,86,0,9.22,clear sky
15,Tazovskiy,RU,67.47,78.70,49.23,77,96,5.91,overcast clouds
16,Atuona,PF,-9.80,-139.03,77.2,75,10,16.58,light rain
17,Qaqortoq,GL,60.72,-46.03,44.29,90,30,1.81,scattered clouds
18,Port Elizabeth,ZA,-33.92,25.57,64.31,51,27,5.01,scattered clouds
19,Tura,IN,25.52,90.22,71.87,91,59,2.84,broken clouds
20,Bambous Virieux,MU,-20.34,57.76,67.21,79,30,11.43,light rain
21,East London,ZA,-33.02,27.91,64.02,45,25,5.57,scattered clouds
22,Tateyama,JP,34.98,139.87,83.1,87,71,13.56,broken clouds
23,Albany,US,42.60,-73.97,77.41,53,78,6.64,broken clouds
24,Sechura,PE,-5.56,-80.82,67.75,71,91,17.4,overcast clouds
25,Hermanus,ZA,-34.42,19.23,46.8,87,73,3.49,broken clouds
26,Rikitea,PF,-23.12,-134.97,75.29,72,60,11.14,broken clouds
27,Virginia Beach,US,36.85,-75.98,78.06,94,100,4.61,thunderstorm
28,Hambantota,LK,6.12,81.12,78.64,84,96,4.29,overcast clouds
29,Dikson,RU,73.51,80.55,42.93,97,100,25.14,light rain
30,Hithadhoo,MV,-0.60,73.08,77.79,87,100,14.52,moderate rain
31,Savannah Bight,HN,16.45,-85.85,82.54,79,23,18.59,few clouds
32,Busselton,AU,-33.65,115.33,48.15,85,22,7.02,few clouds
33,Ulladulla,AU,-35.35,150.47,52.32,58,18,8.32,few clouds
34,Kaeo,NZ,-35.10,173.78,58.28,72,53,12.55,broken clouds
35,Bethel,US,41.37,-73.41,80.69,53,0,6.91,clear sky
36,Kansanshi,ZM,-12.10,26.43,53.01,53,1,4.47,clear sky
37,Eirunepe,BR,-6.66,-69.87,81.09,62,67,2.17,broken clouds
38,Namatanai,PG,-3.67,152.43,82.99,68,72,7.29,broken clouds
39,Ola,RU,59.58,151.28,70.14,87,99,7.2,overcast clouds
40,Las Vegas,US,36.17,-115.14,96.24,37,0,10.36,clear sky
41,Cheremukhovo,RU,60.35,59.99,48.2,80,83,3.47,broken clouds
42,Andros Town,BS,24.70,-77.77,85.96,76,81,17.47,broken clouds
43,Liuzhou,CN,24.31,109.39,79.03,86,6,3.98,clear sky
44,Port Alfred,ZA,-33.59,26.89,64.74,45,14,7.52,few clouds
45,Ilheus,BR,-14.79,-39.05,69.35,88,43,8.48,scattered clouds
46,Bluff,NZ,-46.60,168.33,44.8,90,100,21.25,light rain
47,Erenhot,CN,43.65,111.98,71.24,47,67,3.58,broken clouds
48,Sabzevar,IR,36.21,57.68,81.43,32,24,6.96,few clouds
49,Saint-Philippe,RE,-21.36,55.77,65.79,84,30,10.71,scattered clouds
50,Matay,EG,28.42,30.78,83.21,28,0,10.78,clear sky
51,Castro,BR,-24.79,-50.01,58.6,74,0,3.18,clear sky
52,Longyearbyen,SJ,78.22,15.64,46.24,87,75,3.44,broken clouds
53,Port Hedland,AU,-20.32,118.57,59.05,51,12,9.22,few clouds
54,Hobart,AU,-42.88,147.33,50.05,90,20,8.05,few clouds
55,Tacuarembo,UY,-31.73,-55.98,66.06,93,13,6.13,few clouds
56,Kapaa,US,22.08,-159.32,84.52,70,75,17.27,broken clouds
57,Alice Springs,AU,-23.70,133.88,33.35,86,0,4.61,clear sky
58,Okhotsk,RU,59.38,143.30,62.8,74,95,5.01,overcast clouds
59,Mar Del Plata,AR,-38.00,-57.56,55.09,98,100,3.44,fog
60,Amudat,UG,1.95,34.95,68.47,73,86,4.18,overcast clouds
61,Chuy,UY,-33.70,-53.46,58.17,97,95,5.99,overcast clouds
62,Nouadhibou,MR,20.93,-17.03,71.15,93,25,8.46,scattered clouds
63,Bighapur,IN,26.35,80.68,85.1,70,63,3.71,broken clouds
64,At-Bashi,KG,41.17,75.81,58.8,48,2,0.38,clear sky
65,Tsagan Aman,RU,47.56,46.72,71.26,59,7,1.21,clear sky
